symbol,strategy,entry_time,exit_time,entry_price,exit_price,return_pct,forced_close
AMD,vwap_meanrev,2026-07-15T15:51:48.743184+00:00,2026-07-15T18:47:05.712539+00:00,516.47802734375,529.0999755859375,2.444,False
SNOW,vwap_meanrev,2026-07-15T19:30:58.684629+00:00,2026-07-15T19:57:48.273940+00:00,270.5950012207031,272.510009765625,0.708,True
AMD,vwap_meanrev,2026-07-16T16:38:38.532820+00:00,2026-07-17T14:44:59.403954+00:00,500.0799865722656,488.5299987792969,-2.31,False
GOOGL,vwap_meanrev,2026-07-16T18:58:32.005639+00:00,2026-07-17T14:44:59.728304+00:00,356.6300048828125,346.92999267578125,-2.72,False
ARM,vwap_meanrev,2026-07-16T18:58:33.372185+00:00,2026-07-17T14:45:00.713075+00:00,256.45001220703125,261.94500732421875,2.143,False
META,vwap_meanrev,2026-07-16T17:51:39.208433+00:00,2026-07-17T17:21:47.414964+00:00,668.4600219726562,648.3200073242188,-3.013,False
TSLA,orb,2026-07-16T15:03:53.869829+00:00,2026-07-20T15:13:00.956312+00:00,393.3700866699219,374.0350036621094,-4.915,False
ARM,vwap_meanrev,2026-07-20T16:45:51.320482+00:00,2026-07-21T15:05:27.881821+00:00,271.0950012207031,287.6700134277344,6.114,False
AMD,vwap_meanrev,2026-07-20T16:45:49.106961+00:00,2026-07-21T16:40:05.635691+00:00,509.75,539.5250244140625,5.841,False
GOOGL,vwap_meanrev,2026-07-20T16:45:49.606185+00:00,2026-07-21T16:40:05.776663+00:00,354.9952087402344,349.7550048828125,-1.476,False
ROKU,vwap_meanrev,2026-07-20T18:45:52.107095+00:00,2026-07-21T16:40:05.873612+00:00,144.4550018310547,144.3000030517578,-0.107,False
SNOW,vwap_meanrev,2026-07-21T15:05:25.285109+00:00,2026-07-22T15:05:32.353468+00:00,274.0,265.8900146484375,-2.96,False
ARM,vwap_meanrev,2026-08-18T14:56:55.705309+00:00,2026-08-18T17:45:09.865188+00:00,250.27999877929688,254.63999938964844,1.742,False
SNOW,vwap_meanrev,2026-08-18T14:56:53.590112+00:00,2026-08-18T19:34:28.129599+00:00,321.7200012207031,326.4599914550781,1.473,False
AMD,vwap_meanrev,2026-08-18T14:56:54.350618+00:00,2026-08-18T19:34:28.259498+00:00,477.8999938964844,481.5299987792969,0.76,False
GOOGL,vwap_meanrev,2026-08-18T18:59:56.753451+00:00,2026-08-18T19:34:28.400937+00:00,342.614990234375,344.30499267578125,0.493,False
ROKU,vwap_meanrev,2026-08-18T18:14:09.965050+00:00,2026-08-18T19:54:13.418026+00:00,158.82000732421875,158.08999633789062,-0.46,True
TSLA,orb,2026-07-21T15:05:28.140806+00:00,2026-08-18T20:20:28.423292+00:00,381.8399963378906,336.885009765625,-11.773,True
AMD,vwap_meanrev,2026-08-19T13:44:35.951197+00:00,2026-08-19T16:02:48.573931+00:00,477.1000061035156,468.385009765625,-1.827,False
ARM,vwap_meanrev,2026-08-19T13:44:37.790391+00:00,2026-08-19T16:42:32.591694+00:00,257.2200012207031,252.42250061035156,-1.865,False
ROKU,vwap_meanrev,2026-08-19T14:57:46.296521+00:00,2026-08-19T17:58:03.913817+00:00,157.30999755859375,157.80999755859375,0.318,False
TSLA,orb,2026-08-19T14:57:48.194522+00:00,2026-08-19T20:01:05.814962+00:00,346.94000244140625,351.110107421875,1.202,True
ARM,vwap_meanrev,2026-08-19T17:07:22.450436+00:00,2026-08-19T20:01:05.928352+00:00,251.35000610351562,249.4199981689453,-0.768,True
AMD,vwap_meanrev,2026-08-19T17:37:35.749352+00:00,2026-08-19T20:01:06.034307+00:00,465.88299560546875,466.3800048828125,0.107,True
ROKU,vwap_meanrev,2026-08-19T19:13:08.079011+00:00,2026-08-19T20:01:06.187338+00:00,157.17999267578125,156.77999877929688,-0.254,True
SNOW,vwap_meanrev,2026-08-20T14:22:27.719051+00:00,2026-08-20T15:03:21.749197+00:00,318.6000061035156,322.19500732421875,1.128,False
GOOGL,vwap_meanrev,2026-08-20T15:03:22.568740+00:00,2026-08-20T16:55:54.283656+00:00,341.1499938964844,341.7699890136719,0.182,False
SNOW,vwap_meanrev,2026-08-20T16:16:29.208287+00:00,2026-08-20T17:59:23.910903+00:00,319.8699951171875,321.6600036621094,0.56,False
AMD,vwap_meanrev,2026-08-20T13:47:21.764380+00:00,2026-08-20T19:56:19.518741+00:00,467.7309875488281,468.95001220703125,0.261,False
AMD,vwap_meanrev,2026-08-21T14:20:28.917052+00:00,2026-08-21T15:41:42.627639+00:00,462.8999938964844,470.8900146484375,1.726,False
ROKU,vwap_meanrev,2026-08-21T19:32:53.699784+00:00,2026-08-21T19:52:38.792068+00:00,157.4600067138672,157.5850067138672,0.079,True
ARM,vwap_meanrev,2026-08-21T13:45:29.535620+00:00,2026-08-21T19:52:39.270637+00:00,250.50999450683594,242.99000549316406,-3.002,True
TSLA,orb,2026-08-21T14:20:31.252596+00:00,2026-08-21T19:52:39.484964+00:00,358.0299987792969,364.2799987792969,1.746,True
